"Player","Team","MXG","Goals","Loops","Degree"
"A. Meier","Eintracht Frankfurt",292.381974295418,1,0,4
"M. Icardi","Internazionale",34.1274645036335,29,152,1005
"K. Mitroglou","Olympique Marseille",32.2139131237384,9,50,314
"E. Cavani","PSG",30.4896627964515,28,293,1232
"D. Blum","Eintracht Frankfurt",27.7268195318275,1,8,31
"I. Ganago","Nice",25.9394866064433,1,13,51
"R. Lewandowski","Bayern München",23.5258135365564,29,256,1330
"S. Agüero","Manchester City",21.923346027751,21,261,1276
"A. Traoré","Monaco",21.3256786984441,3,14,134
"C. Diabaté","Benevento",21.3151490862708,8,259,622
"A. Sanabria","Real Betis",21.0931063802375,8,70,412
"P. Aubameyang","Arsenal",21.0562922792653,10,74,551
"H. Kane","Tottenham Hotspur",20.9150441178501,29,396,1804
"C. Immobile","Lazio",20.7015883389574,29,255,1526
"Cristiano Ronaldo","Real Madrid",20.1972140036839,26,266,1489
"Mohamed Salah","Liverpool",19.2956920203915,32,425,2089
"P. Aubameyang","Borussia Dortmund",18.9617190569893,13,98,685
"S. Wagner","Bayern München",17.9833275255326,8,76,446
"H. Saivet","Newcastle United",17.5721494759075,1,6,55
"Mariano Díaz","Olympique Lyonnais",17.2762290087153,18,231,1157
"K. Babacar","Fiorentina",17.0129759567085,4,50,268
"O. Giroud","Arsenal",16.3954453479898,4,38,272
"M. Batshuayi","Borussia Dortmund",16.3778499464668,7,86,438
"J. Vardy","Leicester City",16.3711699365593,20,194,1249
"R. Cabella","Olympique Marseille",16.2270014627338,1,14,66
"C. Théréau","Udinese",15.7224871876257,2,28,138
"R. Berič","Saint-Étienne",15.6735474640084,7,78,490
"N. Dorsch","Bayern München",15.2875737582733,1,10,63
"N. de Préville","Lille",14.6371449550145,2,31,159
"C. Bacca","Villarreal",14.6251783533922,15,178,1095
"F. Quagliarella","Sampdoria",14.413873893039,19,235,1419
"C. Stuani","Girona",14.1269589967098,21,248,1416
"L. Suárez","Barcelona",14.1051442327175,25,274,1929
"Carlos Fernández","Sevilla",13.8086029812214,1,8,74
"A. Milik","Napoli",13.7847876608287,5,213,565
