"Player","Team","MXG","Degree","Loops (% Degree)","Goals (% Degree)"
"M. Icardi","Internazionale",34.1274645036335,"1,005","152 (15.1%)","29 (2.89%)"
"E. Cavani","PSG",30.4896627964515,"1,232","293 (23.8%)","28 (2.27%)"
"R. Lewandowski","Bayern München",23.5258135365564,"1,330","256 (19.2%)","29 (2.18%)"
"S. Agüero","Manchester City",21.923346027751,"1,276","261 (20.5%)","21 (1.65%)"
"H. Kane","Tottenham Hotspur",20.9150441178501,"1,804","396 (22.0%)","29 (1.61%)"
"C. Immobile","Lazio",20.7015883389574,"1,526","255 (16.7%)","29 (1.90%)"
"Cristiano Ronaldo","Real Madrid",20.1972140036839,"1,489","266 (17.9%)","26 (1.75%)"
"Mohamed Salah","Liverpool",19.2956920203915,"2,089","425 (20.3%)","32 (1.53%)"
"Mariano Díaz","Olympique Lyonnais",17.2762290087153,"1,157","231 (20.0%)","18 (1.56%)"
"J. Vardy","Leicester City",16.3711699365593,"1,249","194 (15.5%)","20 (1.60%)"
"C. Bacca","Villarreal",14.6251783533922,"1,095","178 (16.3%)","15 (1.37%)"
"F. Quagliarella","Sampdoria",14.413873893039,"1,419","235 (16.6%)","19 (1.34%)"
"C. Stuani","Girona",14.1269589967098,"1,416","248 (17.5%)","21 (1.48%)"
"L. Suárez","Barcelona",14.1051442327175,"1,929","274 (14.2%)","25 (1.30%)"
"R. Falcao","Monaco",13.3352945173666,"1,231","230 (18.7%)","18 (1.46%)"
"Maxi Gómez","Celta de Vigo",13.1208796356341,"1,528","260 (17.0%)","18 (1.18%)"
"Gabriel Jesus","Manchester City",12.9371064557411,"1,137","179 (15.7%)","13 (1.14%)"
"M. Balotelli","Nice",12.8974042621501,"1,514","252 (16.6%)","18 (1.19%)"
"G. Bale","Real Madrid",12.2437553627669,"1,361","232 (17.0%)","16 (1.18%)"
"L. Messi","Barcelona",12.009199834049,"3,225","671 (20.8%)","34 (1.05%)"
